title,author,genre,start_date,end_date,year,page_count,audiobook,start_date_raw,end_date_raw
Fifty Inventions That Shaped the Modern Economy,Tim Harford,,,,,,False,,
Good Strategy Bad Strategy,,,,,,,False,,
Side Hustle,Chris Guillebeau,,,,,,False,,
How to talk to anyone,,,,,,,False,,
The Long Game,Dorie Clark,,,,,,False,,
The Miracle Morning,Hal Elrod,,,,,,False,,
The Almanack of Naval Ravikant,Eric Jorgenson,,,,,,False,,
Allen Carr's Quit Drinking,Allen Carr,,,,,,False,,
The Subtle Art of Not Giving a F*ck,Mark Manson,,,,,,False,,
Brain Rules,John Medina,,,,,,False,,
Quiet,Susan Cain,,,,,,False,,
Deep Work,Cal Newport,,,,,,False,,
Digital Minimalism,Cal Newport,,,,,,False,,
Digital Body Language,Erica Dhawan,,,,,,False,,
Character Carved in Stone,,,,,,,False,,
The Defining Decade,,,,,,,False,,
The Power of Now,Eckhart Tolle,,,,,,False,,
Leading with Heart,Coach K,,,,,,False,,
Stillness Is the Key,Ryan Holiday,,,,,,False,,
Unfu*k yourself,,,,,,,False,,
The Happiness Advantage,Shawn Achor,,,,,,False,,
Quaterlife Crisis,,,,,,,False,,
The Energy Bus,Jon Gordon,,,,,,False,,
Think Like a Rocket Scientist,Ozan Varol,,,,,,False,,
The Alchemy of Air,Thomas Hager,,,,,,False,,
Irresistible,Adam Alter,,,,,,False,,
The Career Manifesto,Mike Steib,,,,,,False,,
The Lean Startup,Eric Ries,,,,,,False,,
Good Economics for Hard Times,,,,,,,False,,
So you have been publically shamed,,,,,,,False,,
Nudge,,,,,,,False,,
Winners Never Cheat,,,,,,,False,,
Expert Secrets,Russell Brunson,,,,,,False,,
Contagious,Jonah Berger,,,,,,False,,
Thinking in Bets,Annie Duke,,,,,,False,,
the signal and the noise,Nate Silver,,,,,,False,,
Five Stars The Communication Secrets from Good to Great,Carmine Gallo,,,,,,False,,
The 50th Law,50 Cent,,,,,,False,,
"Alchemy: The Dark Art in Brands, Business, and Life",Rory Sutherland,,,,,,False,,
MoneyZen,Manisha Thakor,,,,,,False,,
Tiny Experiments,Anne-Laure Le Cunff,,,,,,False,,
How to Break 90,,,,,,,False,,
Super Pumped,Mike Isaac,,,,,,False,,
